assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Inhibition of AChE (unknown origin),CHEMBL4130365,CHEMBL4166725,nM,11800.0,uM,11.8,"{'alogp': '1.98', 'aromatic_rings': 1, 'full_molformula': 'C8H5NO3S', 'full_mwt': '195.20', 'hba': 4, 'hbd': 0, 'heavy_atoms': 13, 'mw_freebase': '195.20', 'np_likeness_score': '-1.14', 'num_ro5_violations': 0, 'psa': '60.21', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 1}",4.928117992693875
Reversible competitive inhibition of human AChE using acetylthiocholine iodide as substrate measured over 5 mins by Dixon plot analysis,CHEMBL4138094,CHEMBL4168617,nM,56200.0,uM,56.2,"{'alogp': '2.56', 'aromatic_rings': 1, 'full_molformula': 'C20H15BrF3N3O4', 'full_mwt': '498.26', 'hba': 4, 'hbd': 2, 'heavy_atoms': 24, 'mw_freebase': '384.23', 'np_likeness_score': '2.82', 'num_ro5_violations': 0, 'psa': '74.32', 'qed_weighted': '0.72', 'ro3_pass': 'N', 'rtb': 0}",4.250263684430939
Reversible competitive inhibition of human AChE using acetylthiocholine iodide as substrate measured over 5 mins by Dixon plot analysis,CHEMBL4138094,CHEMBL4160694,nM,98000.0,uM,98.0,"{'alogp': '2.85', 'aromatic_rings': 1, 'full_molformula': 'C20H14Br2F3N3O4', 'full_mwt': '577.15', 'hba': 4, 'hbd': 3, 'heavy_atoms': 25, 'mw_freebase': '463.13', 'np_likeness_score': '2.71', 'num_ro5_violations': 0, 'psa': '77.48', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 0}",4.008773924307505
Reversible competitive inhibition of human AChE using acetylthiocholine iodide as substrate measured over 5 mins by Dixon plot analysis,CHEMBL4138094,CHEMBL462946,nM,22800.0,uM,22.8,"{'alogp': '2.61', 'aromatic_rings': 1, 'full_molformula': 'C20H13BrF3N3O4S', 'full_mwt': '528.31', 'hba': 5, 'hbd': 2, 'heavy_atoms': 25, 'mw_freebase': '414.28', 'np_likeness_score': '2.98', 'num_ro5_violations': 0, 'psa': '74.32', 'qed_weighted': '0.68', 'ro3_pass': 'N', 'rtb': 0}",4.642065152999546
Competitive inhibition of human erythrocyte AChE using acetylthiocholine iodide as substrate preincubated for 6 mins followed by substrate addition measured up to 180 secs by Lineweaver-Burk plot analysis,CHEMBL4145512,CHEMBL4167524,nM,37.14,nM,37.14,"{'alogp': '4.76', 'aromatic_rings': 2, 'full_molformula': 'C20H25NO3S2', 'full_mwt': '391.56', 'hba': 5, 'hbd': 0, 'heavy_atoms': 26, 'mw_freebase': '391.56', 'np_likeness_score': '-0.83', 'num_ro5_violations': 0, 'psa': '42.68', 'qed_weighted': '0.40', 'ro3_pass': 'N', 'rtb': 6}",7.4301581005962385
Non-competitive inhibition of recombinant human AChE expressed in HEK293 cells assessed as enzyme-substrate-inhibitor complex using varying levels of acetylthiocholine as substrate by Dixon plot analysis,CHEMBL4152325,CHEMBL4171520,nM,3880.0,uM,3.88,"{'alogp': '2.94', 'aromatic_rings': 2, 'full_molformula': 'C18H20N4OS', 'full_mwt': '340.45', 'hba': 4, 'hbd': 3, 'heavy_atoms': 24, 'mw_freebase': '340.45', 'np_likeness_score': '-0.80', 'num_ro5_violations': 0, 'psa': '72.20', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 2}",5.411168274405793
Non-competitive inhibition of recombinant human AChE expressed in HEK293 cells assessed as enzyme-substrate-inhibitor complex using varying levels of acetylthiocholine as substrate by Dixon plot analysis,CHEMBL4152325,CHEMBL4174958,nM,147.0,uM,0.147,"{'alogp': '3.69', 'aromatic_rings': 2, 'full_molformula': 'C17H17BrN4S', 'full_mwt': '389.32', 'hba': 3, 'hbd': 3, 'heavy_atoms': 23, 'mw_freebase': '389.32', 'np_likeness_score': '-0.94', 'num_ro5_violations': 0, 'psa': '62.97', 'qed_weighted': '0.65', 'ro3_pass': 'N', 'rtb': 1}",6.8326826652518236
Inhibition of human AChE assessed as inhibitor dissociation constant for enzyme-inhibitor complex pre-incubated for 6 mins before ATCI substrate addition and measured after 12 mins by DTNB reagent dependent Ellman's method based Lineweaver-Burk plot analysis,CHEMBL4190343,CHEMBL4207101,nM,9.85,nM,9.85,"{'alogp': '2.35', 'aromatic_rings': 3, 'full_molformula': 'C20H18F2N4O2', 'full_mwt': '384.39', 'hba': 5, 'hbd': 2, 'heavy_atoms': 28, 'mw_freebase': '384.39', 'np_likeness_score': '-1.92', 'num_ro5_violations': 0, 'psa': '76.02', 'qed_weighted': '0.71', 'ro3_pass': 'N', 'rtb': 5}",8.006563769502389
Inhibition of human AChE assessed as inhibitor dissociation constant for enzyme-substrate-inhibitor complex pre-incubated for 6 mins before ATCI substrate addition and measured after 12 mins by DTNB reagent dependent Ellman's method based Lineweaver-Burk plot analysis,CHEMBL4190343,CHEMBL4207101,nM,15.81,nM,15.81,"{'alogp': '2.35', 'aromatic_rings': 3, 'full_molformula': 'C20H18F2N4O2', 'full_mwt': '384.39', 'hba': 5, 'hbd': 2, 'heavy_atoms': 28, 'mw_freebase': '384.39', 'np_likeness_score': '-1.92', 'num_ro5_violations': 0, 'psa': '76.02', 'qed_weighted': '0.71', 'ro3_pass': 'N', 'rtb': 5}",7.801068130067791
Mixed type inhibition of human erythrocyte AChE assessed as enzyme-inhibitor complex using varying levels of acetylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition by Lineweaver-Burk plot analysis,CHEMBL4196084,CHEMBL4210729,nM,3.28,nM,3.28,"{'alogp': '6.37', 'aromatic_rings': 5, 'full_molformula': 'C34H33ClN4O3', 'full_mwt': '581.12', 'hba': 6, 'hbd': 2, 'heavy_atoms': 42, 'mw_freebase': '581.12', 'np_likeness_score': '-1.17', 'num_ro5_violations': 2, 'psa': '85.25', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 9}",8.48412615628832
Mixed type inhibition of human erythrocyte AChE assessed as enzyme-substrate-inhibitor complex using varying levels of acetylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition by Lineweaver-Burk plot analysis,CHEMBL4196084,CHEMBL4210729,nM,1.57,nM,1.57,"{'alogp': '6.37', 'aromatic_rings': 5, 'full_molformula': 'C34H33ClN4O3', 'full_mwt': '581.12', 'hba': 6, 'hbd': 2, 'heavy_atoms': 42, 'mw_freebase': '581.12', 'np_likeness_score': '-1.17', 'num_ro5_violations': 2, 'psa': '85.25', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 9}",8.804100347590767
Reversible inhibition of recombinant human recombinant AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL4292643,nM,42000.0,uM,42.0,"{'alogp': '0.91', 'aromatic_rings': 2, 'full_molformula': 'C15H17Br2ClN4O2', 'full_mwt': '480.59', 'hba': 3, 'hbd': 2, 'heavy_atoms': 22, 'mw_freebase': '320.78', 'np_likeness_score': '-0.60', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 6}",4.376750709602099
Reversible inhibition of recombinant human recombinant AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL4284764,nM,36000.0,uM,36.0,"{'alogp': '1.30', 'aromatic_rings': 2, 'full_molformula': 'C16H19Br2ClN4O2', 'full_mwt': '494.62', 'hba': 3, 'hbd': 2, 'heavy_atoms': 23, 'mw_freebase': '334.81', 'np_likeness_score': '-0.60', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 7}",4.443697499232712
Reversible inhibition of recombinant human recombinant AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL4289221,nM,24000.0,uM,24.0,"{'alogp': '1.08', 'aromatic_rings': 2, 'full_molformula': 'C16H17Br2ClN4O2', 'full_mwt': '492.60', 'hba': 3, 'hbd': 2, 'heavy_atoms': 23, 'mw_freebase': '332.79', 'np_likeness_score': '-0.47', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 6}",4.619788758288394
Reversible inhibition of recombinant human recombinant AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL4281350,nM,21000.0,uM,21.0,"{'alogp': '1.57', 'aromatic_rings': 2, 'full_molformula': 'C15H16Br2Cl2N4O2', 'full_mwt': '515.03', 'hba': 3, 'hbd': 2, 'heavy_atoms': 23, 'mw_freebase': '355.23', 'np_likeness_score': '-0.44', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 6}",4.6777807052660805
Reversible inhibition of recombinant human recombinant AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL4285826,nM,12000.0,uM,12.0,"{'alogp': '1.96', 'aromatic_rings': 2, 'full_molformula': 'C16H18Br2Cl2N4O2', 'full_mwt': '529.06', 'hba': 3, 'hbd': 2, 'heavy_atoms': 24, 'mw_freebase': '369.25', 'np_likeness_score': '-0.45', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 7}",4.920818753952375
Reversible inhibition of recombinant human recombinant AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL4277895,nM,22000.0,uM,22.0,"{'alogp': '1.73', 'aromatic_rings': 2, 'full_molformula': 'C16H16Br2Cl2N4O2', 'full_mwt': '527.04', 'hba': 3, 'hbd': 2, 'heavy_atoms': 24, 'mw_freebase': '367.24', 'np_likeness_score': '-0.35', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 6}",4.657577319177793
Reversible inhibition of recombinant human recombinant AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL33051,nM,25000.0,uM,25.0,"{'alogp': '-0.20', 'aromatic_rings': 2, 'full_molformula': 'C14H16Cl2N4O3', 'full_mwt': '359.21', 'hba': 4, 'hbd': 2, 'heavy_atoms': 21, 'mw_freebase': '288.31', 'np_likeness_score': '-0.48', 'num_ro5_violations': 0, 'psa': '92.67', 'qed_weighted': '0.33', 'ro3_pass': 'N', 'rtb': 6}",4.6020599913279625
Reversible inhibition of recombinant human recombinant AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL14577,nM,180000.0,uM,180.0,"{'alogp': '0.32', 'aromatic_rings': 1, 'full_molformula': 'C7H9IN2O', 'full_mwt': '264.07', 'hba': 2, 'hbd': 1, 'heavy_atoms': 10, 'mw_freebase': '137.16', 'np_likeness_score': '-0.40', 'num_ro5_violations': 0, 'psa': '36.47', 'qed_weighted': '0.26', 'ro3_pass': 'Y', 'rtb': 1}",3.744727494896694
Reversible inhibition of human erythrocytic AChE using acetylthiocholine iodide as substrate measured up to 2 mins by spectrophotometric method,CHEMBL4257577,CHEMBL397871,nM,73000.0,uM,73.0,"{'alogp': '0.26', 'aromatic_rings': 2, 'full_molformula': 'C15H18Br2N4O2', 'full_mwt': '446.14', 'hba': 3, 'hbd': 2, 'heavy_atoms': 21, 'mw_freebase': '286.33', 'np_likeness_score': '-0.58', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.35', 'ro3_pass': 'N', 'rtb': 6}",4.136677139879544
Reactivation of OP compound induced inhibition of AChE in human erythrocytes using ATCh as substrate measured up to 2 mins by Ellman's method,CHEMBL5113391,CHEMBL397871,nM,73000.0,uM,73.0,"{'alogp': '0.26', 'aromatic_rings': 2, 'full_molformula': 'C15H18Br2N4O2', 'full_mwt': '446.14', 'hba': 3, 'hbd': 2, 'heavy_atoms': 21, 'mw_freebase': '286.33', 'np_likeness_score': '-0.58', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.35', 'ro3_pass': 'N', 'rtb': 6}",4.136677139879544
Reversible inhibition of human erythrocytic AChE using acetylthiocholine iodide as substrate measured up to 2 mins by spectrophotometric method,CHEMBL4257577,CHEMBL116379,nM,110000.0,uM,110.0,"{'alogp': '0.65', 'aromatic_rings': 2, 'full_molformula': 'C16H20Br2N4O2', 'full_mwt': '460.17', 'hba': 3, 'hbd': 2, 'heavy_atoms': 22, 'mw_freebase': '300.36', 'np_likeness_score': '-0.58', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 7}",3.958607314841775
Reactivation of OP compound induced inhibition of AChE in human erythrocytes using ATCh as substrate measured up to 2 mins by Ellman's method,CHEMBL5113391,CHEMBL116379,nM,110000.0,uM,110.0,"{'alogp': '0.65', 'aromatic_rings': 2, 'full_molformula': 'C16H20Br2N4O2', 'full_mwt': '460.17', 'hba': 3, 'hbd': 2, 'heavy_atoms': 22, 'mw_freebase': '300.36', 'np_likeness_score': '-0.58', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 7}",3.958607314841775
Reversible inhibition of human erythrocytic AChE using acetylthiocholine iodide as substrate by Ellman spectrophotometric method,CHEMBL4257577,CHEMBL238977,nM,90000.0,uM,90.0,"{'alogp': '0.43', 'aromatic_rings': 2, 'full_molformula': 'C16H18Br2N4O2', 'full_mwt': '458.15', 'hba': 3, 'hbd': 2, 'heavy_atoms': 22, 'mw_freebase': '298.35', 'np_likeness_score': '-0.42', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 6}",4.045757490560675
Reactivation of OP compound induced inhibition of AChE in human erythrocytes using ATCh as substrate by Ellman's method,CHEMBL5113391,CHEMBL238977,nM,90000.0,uM,90.0,"{'alogp': '0.43', 'aromatic_rings': 2, 'full_molformula': 'C16H18Br2N4O2', 'full_mwt': '458.15', 'hba': 3, 'hbd': 2, 'heavy_atoms': 22, 'mw_freebase': '298.35', 'np_likeness_score': '-0.42', 'num_ro5_violations': 0, 'psa': '83.44', 'qed_weighted': '0.27', 'ro3_pass': 'N', 'rtb': 6}",4.045757490560675
Mixed type inhibition of human AChE using acetylthiocholine iodide as substrate pretreated for 5 mins followed by substrate addition measured after 5 mins by Dixon plot analysis,CHEMBL4265951,CHEMBL4292235,nM,190.0,nM,190.0,"{'alogp': '3.47', 'aromatic_rings': 3, 'full_molformula': 'C24H24N2O5', 'full_mwt': '420.47', 'hba': 6, 'hbd': 1, 'heavy_atoms': 31, 'mw_freebase': '420.47', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '88.85', 'qed_weighted': '0.47', 'ro3_pass': 'N', 'rtb': 7}",6.721246399047171
Inhibition of recombinant human AChE expressed in HEK293 cells using varying levels of acetylthiocholine iodide as substrate by Lineweaver-burk plot analysis,CHEMBL4270563,CHEMBL4284495,nM,11.0,nM,11.0,"{'alogp': '4.27', 'aromatic_rings': 3, 'full_molformula': 'C26H29NO6', 'full_mwt': '451.52', 'hba': 7, 'hbd': 0, 'heavy_atoms': 33, 'mw_freebase': '451.52', 'np_likeness_score': '-0.41', 'num_ro5_violations': 0, 'psa': '78.21', 'qed_weighted': '0.47', 'ro3_pass': 'N', 'rtb': 8}",7.958607314841775
Inhibition of recombinant human AChE expressed in HEK293 cells using varying levels of acetylthiocholine iodide as substrate by Lineweaver-burk plot analysis,CHEMBL4270563,CHEMBL4286799,nM,57.0,nM,57.0,"{'alogp': '3.83', 'aromatic_rings': 3, 'full_molformula': 'C24H26N2O3', 'full_mwt': '390.48', 'hba': 4, 'hbd': 1, 'heavy_atoms': 29, 'mw_freebase': '390.48', 'np_likeness_score': '-0.96', 'num_ro5_violations': 0, 'psa': '62.55', 'qed_weighted': '0.69', 'ro3_pass': 'N', 'rtb': 6}",7.2441251443275085
Inhibition of recombinant human AChE expressed in HEK293 cells using varying levels of acetylthiocholine iodide as substrate by Lineweaver-burk plot analysis,CHEMBL4270563,CHEMBL4277548,nM,12.0,nM,12.0,"{'alogp': '3.73', 'aromatic_rings': 3, 'full_molformula': 'C24H25N3O5', 'full_mwt': '435.48', 'hba': 6, 'hbd': 1, 'heavy_atoms': 32, 'mw_freebase': '435.48', 'np_likeness_score': '-1.26', 'num_ro5_violations': 0, 'psa': '105.69', 'qed_weighted': '0.45', 'ro3_pass': 'N', 'rtb': 7}",7.920818753952375
Inhibition of recombinant human AChE expressed in HEK293 cells using varying levels of acetylthiocholine iodide as substrate by Lineweaver-burk plot analysis,CHEMBL4270563,CHEMBL4292477,nM,62.0,nM,62.0,"{'alogp': '3.41', 'aromatic_rings': 3, 'full_molformula': 'C24H27N3O3', 'full_mwt': '405.50', 'hba': 5, 'hbd': 2, 'heavy_atoms': 30, 'mw_freebase': '405.50', 'np_likeness_score': '-0.93', 'num_ro5_violations': 0, 'psa': '88.57', 'qed_weighted': '0.61', 'ro3_pass': 'N', 'rtb': 6}",7.2076083105017466
Inhibition of recombinant human AChE expressed in HEK293 cells using varying levels of acetylthiocholine iodide as substrate by Lineweaver-burk plot analysis,CHEMBL4270563,CHEMBL4287970,nM,39.0,nM,39.0,"{'alogp': '3.84', 'aromatic_rings': 3, 'full_molformula': 'C26H30N2O5', 'full_mwt': '450.54', 'hba': 6, 'hbd': 1, 'heavy_atoms': 33, 'mw_freebase': '450.54', 'np_likeness_score': '-0.74', 'num_ro5_violations': 0, 'psa': '81.01', 'qed_weighted': '0.56', 'ro3_pass': 'N', 'rtb': 8}",7.4089353929735005
Inhibition of recombinant human AChE expressed in HEK293 cells using varying levels of acetylthiocholine iodide as substrate by Lineweaver-burk plot analysis,CHEMBL4270563,CHEMBL4284165,nM,11.0,nM,11.0,"{'alogp': '3.92', 'aromatic_rings': 3, 'full_molformula': 'C25H28N2O4', 'full_mwt': '420.51', 'hba': 5, 'hbd': 2, 'heavy_atoms': 31, 'mw_freebase': '420.51', 'np_likeness_score': '-0.56', 'num_ro5_violations': 0, 'psa': '82.78', 'qed_weighted': '0.57', 'ro3_pass': 'N', 'rtb': 7}",7.958607314841775
Inhibition of recombinant human AChE expressed in HEK293 cells using varying levels of acetylthiocholine iodide as substrate by Lineweaver-burk plot analysis,CHEMBL4270563,CHEMBL4294783,nM,21.0,nM,21.0,"{'alogp': '4.23', 'aromatic_rings': 3, 'full_molformula': 'C27H32N2O5', 'full_mwt': '464.56', 'hba': 6, 'hbd': 1, 'heavy_atoms': 34, 'mw_freebase': '464.56', 'np_likeness_score': '-0.62', 'num_ro5_violations': 0, 'psa': '81.01', 'qed_weighted': '0.48', 'ro3_pass': 'N', 'rtb': 9}",7.6777807052660805
Inhibition of recombinant human AChE expressed in HEK293 cells using varying levels of acetylthiocholine iodide as substrate by Lineweaver-burk plot analysis,CHEMBL4270563,CHEMBL4293801,nM,60.0,nM,60.0,"{'alogp': '3.58', 'aromatic_rings': 3, 'full_molformula': 'C26H31N3O4', 'full_mwt': '449.55', 'hba': 5, 'hbd': 2, 'heavy_atoms': 33, 'mw_freebase': '449.55', 'np_likeness_score': '-0.69', 'num_ro5_violations': 0, 'psa': '83.66', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 8}",7.221848749616356
Mixed-type inhibition of human AChE using acetylthiocholine chloride as substrate incubated for 5 mins followed by substrate addition by Lineweaver-Burk plot analysis,CHEMBL4270597,CHEMBL4283390,nM,3200.0,uM,3.2,"{'alogp': '6.42', 'aromatic_rings': 2, 'full_molformula': 'C31H44N2O2', 'full_mwt': '476.71', 'hba': 3, 'hbd': 2, 'heavy_atoms': 35, 'mw_freebase': '476.71', 'np_likeness_score': '-0.48', 'num_ro5_violations': 1, 'psa': '52.57', 'qed_weighted': '0.45', 'ro3_pass': 'N', 'rtb': 7}",5.494850021680094
Mixed-type inhibition of human AChE using acetylthiocholine chloride as substrate incubated for 5 mins followed by substrate addition by Lineweaver-Burk plot analysis,CHEMBL4270597,CHEMBL4292766,nM,1400.0,uM,1.4,"{'alogp': '6.56', 'aromatic_rings': 2, 'full_molformula': 'C31H43FN2O2', 'full_mwt': '494.70', 'hba': 3, 'hbd': 2, 'heavy_atoms': 36, 'mw_freebase': '494.70', 'np_likeness_score': '-0.79', 'num_ro5_violations': 1, 'psa': '52.57', 'qed_weighted': '0.43', 'ro3_pass': 'N', 'rtb': 7}",5.853871964321762
Competitive type inhibition of AChE (unknown origin) using acetylthiocholine iodide as substrate by Ellman's method based Lineweaver-Burk plot analysis,CHEMBL4316628,CHEMBL362378,nM,7390.0,uM,7.39,"{'alogp': '4.18', 'aromatic_rings': 2, 'full_molformula': 'C20H18O4', 'full_mwt': '322.36', 'hba': 4, 'hbd': 2, 'heavy_atoms': 24, 'mw_freebase': '322.36', 'np_likeness_score': '1.79', 'num_ro5_violations': 0, 'psa': '66.76', 'qed_weighted': '0.66', 'ro3_pass': 'N', 'rtb': 3}",5.131355561605174
Inhibition of AChE (unknown origin),CHEMBL4325901,CHEMBL3417009,nM,16.0,nM,16.0,"{'alogp': '5.19', 'aromatic_rings': 1, 'full_molformula': 'C22H33ClN2O2', 'full_mwt': '392.97', 'hba': 4, 'hbd': 1, 'heavy_atoms': 27, 'mw_freebase': '392.97', 'np_likeness_score': '-0.74', 'num_ro5_violations': 1, 'psa': '55.56', 'qed_weighted': '0.51', 'ro3_pass': 'N', 'rtb': 7}",7.795880017344075
Competitive inhibition of human recombinant AChE expressed in HEK293 cells using acetylthiocholine iodide as substrate by Dixon and slope replot analysis,CHEMBL4334423,CHEMBL4582736,nM,630.0,uM,0.63,"{'alogp': '3.15', 'aromatic_rings': 2, 'full_molformula': 'C24H30N4O3', 'full_mwt': '422.53', 'hba': 6, 'hbd': 0, 'heavy_atoms': 31, 'mw_freebase': '422.53', 'np_likeness_score': '-1.15', 'num_ro5_violations': 0, 'psa': '57.61', 'qed_weighted': '0.74', 'ro3_pass': 'N', 'rtb': 5}",6.200659450546418
Mixed type inhibition of recombinant human AChE assessed as dissociation constant using acetylthiocholine iodide as substrate incubated for 10 mins by Ellman's method,CHEMBL4339188,CHEMBL4458648,nM,121.0,nM,121.0,"{'alogp': '4.10', 'aromatic_rings': 3, 'full_molformula': 'C21H22N4S', 'full_mwt': '362.50', 'hba': 3, 'hbd': 3, 'heavy_atoms': 26, 'mw_freebase': '362.50', 'np_likeness_score': '-1.37', 'num_ro5_violations': 0, 'psa': '48.98', 'qed_weighted': '0.48', 'ro3_pass': 'N', 'rtb': 4}",6.91721462968355
Mixed type inhibition of recombinant human AChE assessed as dissociation constant for enzyme-substrate-inhibitor complex using acetylthiocholine iodide as substrate incubated for 10 mins by Ellman's method,CHEMBL4339188,CHEMBL4458648,nM,253.0,nM,253.0,"{'alogp': '4.10', 'aromatic_rings': 3, 'full_molformula': 'C21H22N4S', 'full_mwt': '362.50', 'hba': 3, 'hbd': 3, 'heavy_atoms': 26, 'mw_freebase': '362.50', 'np_likeness_score': '-1.37', 'num_ro5_violations': 0, 'psa': '48.98', 'qed_weighted': '0.48', 'ro3_pass': 'N', 'rtb': 4}",6.5968794788241825
Competitive inhibition of human erythrocyte AChE at 10 nM to 10 uM using acetylthiocholine iodide as substrate preincubated for 10 mins followed by substrate addition and measured up to 6 mins by Lineweaver-Burk plot analysis,CHEMBL4346739,CHEMBL4444497,nM,879.0,uM,0.879,"{'alogp': '5.35', 'aromatic_rings': 3, 'full_molformula': 'C22H23ClN2O4', 'full_mwt': '414.89', 'hba': 6, 'hbd': 2, 'heavy_atoms': 29, 'mw_freebase': '414.89', 'np_likeness_score': '-0.68', 'num_ro5_violations': 1, 'psa': '74.97', 'qed_weighted': '0.48', 'ro3_pass': 'N', 'rtb': 8}",6.056011124926228
Inhibition of Acetylcholinesterase (unknown origin) using acetylthiocholine iodide as substrate by Ellman's spectrophotometric method,CHEMBL4354803,CHEMBL4579543,nM,60.79,nM,60.79,"{'alogp': '0.16', 'aromatic_rings': 3, 'full_molformula': 'C15H10FN3O5S', 'full_mwt': '363.33', 'hba': 6, 'hbd': 2, 'heavy_atoms': 25, 'mw_freebase': '363.33', 'np_likeness_score': '-1.35', 'num_ro5_violations': 0, 'psa': '132.09', 'qed_weighted': '0.67', 'ro3_pass': 'N', 'rtb': 2}",7.2161678566155585
Inhibition of Acetylcholinesterase (unknown origin) using acetylthiocholine iodide as substrate by Ellman's spectrophotometric method,CHEMBL4354803,CHEMBL4444582,nM,60.79,nM,60.79,"{'alogp': '0.16', 'aromatic_rings': 3, 'full_molformula': 'C15H10FN3O5S', 'full_mwt': '363.33', 'hba': 6, 'hbd': 2, 'heavy_atoms': 25, 'mw_freebase': '363.33', 'np_likeness_score': '-1.36', 'num_ro5_violations': 0, 'psa': '132.09', 'qed_weighted': '0.67', 'ro3_pass': 'N', 'rtb': 2}",7.2161678566155585
Inhibition of Acetylcholinesterase (unknown origin) using acetylthiocholine iodide as substrate by Ellman's spectrophotometric method,CHEMBL4354803,CHEMBL4524569,nM,60.79,nM,60.79,"{'alogp': '-0.07', 'aromatic_rings': 3, 'full_molformula': 'C15H10N4O7S', 'full_mwt': '390.33', 'hba': 8, 'hbd': 2, 'heavy_atoms': 27, 'mw_freebase': '390.33', 'np_likeness_score': '-1.27', 'num_ro5_violations': 0, 'psa': '175.23', 'qed_weighted': '0.46', 'ro3_pass': 'N', 'rtb': 3}",7.2161678566155585
Inhibition of Acetylcholinesterase (unknown origin) using acetylthiocholine iodide as substrate by Ellman's spectrophotometric method,CHEMBL4354803,CHEMBL4453373,nM,60.79,nM,60.79,"{'alogp': '-0.07', 'aromatic_rings': 3, 'full_molformula': 'C15H10N4O7S', 'full_mwt': '390.33', 'hba': 8, 'hbd': 2, 'heavy_atoms': 27, 'mw_freebase': '390.33', 'np_likeness_score': '-1.37', 'num_ro5_violations': 0, 'psa': '175.23', 'qed_weighted': '0.46', 'ro3_pass': 'N', 'rtb': 3}",7.2161678566155585
Inhibition of Acetylcholinesterase (unknown origin) using acetylthiocholine iodide as substrate by Ellman's spectrophotometric method,CHEMBL4354803,CHEMBL4541764,nM,60.79,nM,60.79,"{'alogp': '-0.28', 'aromatic_rings': 3, 'full_molformula': 'C16H11N3O7S', 'full_mwt': '389.35', 'hba': 7, 'hbd': 3, 'heavy_atoms': 27, 'mw_freebase': '389.35', 'np_likeness_score': '-0.82', 'num_ro5_violations': 0, 'psa': '169.39', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 3}",7.2161678566155585
Inhibition of recombinant human AChE assessed as inhibition constant for enzyme-inhibitor complex using acetylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition and measured for 3 mins by spectrophotometry based Lineweaver-Burk plot analysis,CHEMBL4354814,CHEMBL4456083,nM,88.5,nM,88.5,"{'alogp': '8.61', 'aromatic_rings': 5, 'full_molformula': 'C40H49N5O2', 'full_mwt': '631.87', 'hba': 6, 'hbd': 1, 'heavy_atoms': 47, 'mw_freebase': '631.87', 'np_likeness_score': '-1.41', 'num_ro5_violations': 2, 'psa': '72.28', 'qed_weighted': '0.12', 'ro3_pass': 'N', 'rtb': 15}",7.053056729302175
